recordid,datasource,firstinitial,firstname,middlename,lastname,dayofbirth,monthofbirth,yearofbirth,streetname,streetnumber,streettype,city,region,postalcode,unitnumber,address1,taxid,socialinsurancenumber,voterid,gender,trumatch_confidence
record_1,a,match,match,match,,match,match,match,match,match,match,,match,match,match,,nomatch,nomatch,nomatch,match,0.5537621544721605
record_1,b,match,match,match,match,match,missing,missing,match,match,match,match,match,match,match,match,match,nomatch,match,match,0.5683607492901042
record_1,c,match,match,match,match,match,match,match,match,match,match,match,nomatch,nomatch,missing,match,match,match,match,missing,0.5010497195939172
record_1,d,nomatch,match,match,nomatch,match,match,nomatch,match,match,match,match,nomatch,nomatch,match,nomatch,missing,match,nomatch,nomatch,0.808702458764489
record_1,e,match,nomatch,match,match,nomatch,match,nomatch,match,nomatch,match,match,nomatch,match,match,nomatch,nomatch,match,nomatch,match,0.5369461449942549
record_1,f,nomatch,match,nomatch,match,nomatch,match,match,match,nomatch,nomatch,match,nomatch,match,missing,nomatch,match,match,match,missing,0.6551408202161513
record_1,g,nomatch,matcha,matcha,match,nomatch,,,,matcha,matcha,matcha,nomatch,,,match,match,matcha,match,matcha,0.5194531639840064
record_1,h,match,missing,nomatch,missing,nomatch,match,nomatch,nomatch,nomatch,match,match,nomatch,match,nomatch,match,match,match,missing,nomatch,0.7776861889208992
record_10,a,match,missing,nomatch,match,match,match,match,match,nomatch,match,match,match,missing,nomatch,nomatch,nomatch,nomatch,,match,0.6735036520032495
record_10,b,match,match,match,missing,nomatch,missing,missing,match,nomatch,match,match,match,missing,match,match,missing,match,match,match,0.584603194384889
record_10,c,nomatch,nomatch,match,match,match,match,match,match,match,match,missing,match,match,match,missing,match,,missing,missing,0.6384986451334707
record_10,d,match,match,match,match,nomatch,match,match,match,match,nomatch,match,match,match,match,match,,match,match,match,0.6242566348886435
record_10,e,nomatch,match,match,nomatch,nomatch,nomatch,match,nomatch,nomatch,match,missing,match,nomatch,nomatch,missing,match,match,missing,missing,0.5463439611187362
record_10,f,nomatch,match,match,match,match,match,nomatch,match,match,nomatch,missing,match,match,nomatch,missing,match,missing,missing,missing,0.530683022162944
record_10,g,,nomatch,match,,,,matcha,nomatch,match,,nomatch,,match,matcha,nomatch,matcha,match,matcha,,0.45417301703418433
record_10,h,nomatch,missing,match,nomatch,match,nomatch,missing,missing,match,nomatch,match,match,nomatch,match,match,match,missing,match,missing,0.6985025725901316
record_100,a,match,match,match,match,match,match,match,match,match,nomatch,nomatch,nomatch,match,match,match,nomatch,nomatch,nomatch,match,0.5711785351191295
record_100,b,match,match,match,match,match,match,match,match,nomatch,missing,match,missing,match,match,match,match,missing,match,missing,0.6390073137887771
record_100,c,nomatch,missing,nomatch,nomatch,match,match,missing,missing,match,match,nomatch,missing,nomatch,match,match,match,match,missing,nomatch,0.663579268511197
record_100,d,match,match,match,match,nomatch,nomatch,nomatch,nomatch,match,match,match,nomatch,match,nomatch,match,nomatch,match,match,match,0.5424799291587196
record_100,e,match,missing,nomatch,match,nomatch,match,missing,match,nomatch,nomatch,nomatch,missing,match,match,match,match,match,missing,match,0.6545982545690423
record_100,f,match,missing,nomatch,match,nomatch,match,missing,missing,nomatch,match,match,missing,nomatch,nomatch,nomatch,nomatch,match,missing,match,0.7524648799652136
record_100,g,nomatch,,,matcha,matcha,matcha,nomatch,,,match,match,match,,,matcha,matcha,matcha,matcha,,0.7043228026485655
record_100,h,missing,match,nomatch,nomatch,nomatch,nomatch,nomatch,missing,missing,match,nomatch,match,missing,match,missing,match,missing,nomatch,nomatch,0.6121060266784836
record_1000,a,match,missing,match,match,nomatch,match,missing,,match,nomatch,match,match,match,match,nomatch,nomatch,missing,,match,0.6025316333383112
record_1000,b,match,match,match,nomatch,nomatch,match,missing,missing,missing,nomatch,missing,match,match,match,nomatch,match,match,match,match,0.5211498080768988
record_1000,c,nomatch,match,match,match,missing,match,match,nomatch,match,match,match,match,match,nomatch,match,match,match,missing,match,0.4708157763769859
record_1000,d,match,nomatch,nomatch,match,match,nomatch,match,match,match,match,match,match,match,match,nomatch,nomatch,nomatch,match,match,0.7455966459828791
record_1000,e,match,nomatch,match,nomatch,match,nomatch,match,match,match,nomatch,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,match,nomatch,0.6927532530443199
record_1000,f,match,match,nomatch,nomatch,missing,match,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,match,nomatch,match,match,missing,nomatch,0.6363140189891289
record_1000,g,nomatch,match,nomatch,,match,nomatch,nomatch,match,,nomatch,nomatch,matcha,,,match,nomatch,match,matcha,,0.7885050789471959
record_1000,h,missing,missing,missing,nomatch,match,missing,missing,match,match,missing,nomatch,nomatch,nomatch,nomatch,missing,match,missing,match,missing,0.6820605009566759
record_101,a,match,nomatch,missing,match,nomatch,match,match,,match,nomatch,match,match,,match,missing,,nomatch,nomatch,nomatch,0.7542890284043087
record_101,b,match,nomatch,missing,match,missing,match,match,match,match,match,match,missing,match,missing,match,match,missing,nomatch,missing,0.5550956707872147
record_101,c,nomatch,match,match,match,match,,match,nomatch,match,match,nomatch,missing,match,missing,match,match,match,nomatch,match,0.5363635999996684
record_101,d,nomatch,match,match,match,match,match,match,match,match,nomatch,match,match,nomatch,match,match,match,match,match,match,0.5468991085595385
record_101,e,nomatch,match,match,match,match,,match,nomatch,match,nomatch,match,missing,match,match,nomatch,nomatch,nomatch,nomatch,match,0.5602474276844556
record_101,f,match,nomatch,nomatch,match,nomatch,missing,match,match,match,nomatch,nomatch,missing,nomatch,missing,nomatch,nomatch,nomatch,nomatch,nomatch,0.5592532538345644
record_101,g,matcha,match,match,matcha,match,nomatch,,match,,match,nomatch,nomatch,nomatch,nomatch,match,match,match,matcha,nomatch,0.5164076762657541
record_101,h,missing,match,nomatch,match,match,missing,missing,match,nomatch,match,nomatch,match,match,missing,missing,match,match,nomatch,missing,0.5520109720804453
record_102,a,match,match,nomatch,nomatch,,match,match,match,match,match,match,match,match,match,nomatch,missing,,nomatch,nomatch,0.5882043361317917
record_102,b,missing,missing,match,match,match,match,match,match,nomatch,match,match,match,missing,match,match,match,match,missing,match,0.5832343502467976
record_102,c,match,nomatch,nomatch,match,match,match,match,nomatch,match,match,match,missing,nomatch,missing,match,match,missing,match,match,0.6746665719753715
record_102,d,match,nomatch,nomatch,match,nomatch,match,match,match,match,match,nomatch,match,match,match,match,nomatch,match,match,nomatch,0.6208075241046793
record_102,e,nomatch,match,match,match,match,nomatch,match,match,nomatch,nomatch,nomatch,match,match,missing,match,match,match,nomatch,match,0.7233401475562158
record_102,f,nomatch,nomatch,nomatch,match,match,match,match,nomatch,match,match,nomatch,missing,match,missing,match,nomatch,missing,nomatch,match,0.7276723977032781
record_102,g,,nomatch,nomatch,nomatch,match,,matcha,matcha,,nomatch,,nomatch,matcha,,match,match,match,matcha,match,0.7390695233811304
record_102,h,missing,match,match,match,missing,match,missing,match,nomatch,nomatch,nomatch,nomatch,missing,missing,match,nomatch,,nomatch,match,0.7098159858188633
record_103,a,match,match,match,match,match,match,match,nomatch,match,match,nomatch,match,match,match,nomatch,nomatch,match,nomatch,match,0.5431730771650075
record_103,b,match,match,match,match,match,match,,match,missing,match,,,match,missing,nomatch,missing,match,match,missing,0.5025126671992542
record_103,c,nomatch,match,match,match,nomatch,match,match,match,missing,match,nomatch,match,nomatch,match,match,match,match,match,match,0.6753334125250545
record_103,d,match,match,match,match,nomatch,match,match,match,match,match,match,match,match,match,nomatch,match,match,match,,0.5813208669154633
record_103,e,nomatch,nomatch,nomatch,match,match,nomatch,match,nomatch,match,match,match,match,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,0.3978069165431063
record_103,f,match,match,nomatch,match,match,match,nomatch,match,missing,match,match,match,nomatch,match,nomatch,nomatch,nomatch,match,match,0.47718774629283617
record_103,g,,matcha,matcha,matcha,nomatch,nomatch,,matcha,nomatch,nomatch,match,,nomatch,,nomatch,nomatch,,matcha,matcha,0.7759565430207248
record_103,h,nomatch,match,nomatch,missing,match,match,missing,missing,missing,nomatch,nomatch,nomatch,nomatch,missing,match,nomatch,match,match,missing,0.500797611118884
record_104,a,match,match,match,,match,match,missing,match,,match,match,match,nomatch,match,match,missing,nomatch,missing,match,0.5262988315506085
record_104,b,match,match,match,match,match,match,match,match,nomatch,missing,match,missing,missing,missing,match,missing,match,match,match,0.5371701900696716
record_104,c,missing,match,match,match,match,match,match,match,missing,missing,match,nomatch,match,match,match,match,match,match,match,0.5628642137665838
record_104,d,nomatch,match,nomatch,nomatch,nomatch,match,match,match,nomatch,match,match,match,match,nomatch,nomatch,match,match,match,match,0.32599410998913897
record_104,e,missing,nomatch,nomatch,match,match,match,nomatch,nomatch,match,missing,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,match,match,0.6193579049804017
record_104,f,missing,match,match,nomatch,nomatch,nomatch,nomatch,nomatch,missing,missing,match,nomatch,nomatch,nomatch,nomatch,nomatch,nomatch,match,nomatch,0.38412128706160265
record_104,g,,,,matcha,,,match,,match,matcha,matcha,,match,,nomatch,match,match,match,,0.749377219661038
record_104,h,nomatch,missing,nomatch,match,match,nomatch,missing,match,match,nomatch,missing,match,nomatch,nomatch,match,missing,match,nomatch,missing,0.6792561352930088
record_105,a,match,,match,match,missing,match,match,match,,match,match,match,missing,match,nomatch,nomatch,,nomatch,match,0.36598356851472813
record_105,b,match,match,match,match,match,match,match,missing,nomatch,match,match,match,match,,match,match,match,missing,match,0.6399847629846317
record_105,c,match,match,match,missing,match,match,match,match,missing,missing,match,missing,match,match,match,match,,nomatch,match,0.5094874837751707
record_105,d,missing,match,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,match,match,match,match,match,nomatch,match,match,match,0.5961809426584364
record_105,e,match,nomatch,nomatch,match,nomatch,match,nomatch,match,missing,match,match,match,nomatch,nomatch,nomatch,match,,nomatch,match,0.6839774620533114
record_105,f,nomatch,match,match,missing,match,nomatch,nomatch,nomatch,missing,missing,match,missing,match,match,match,match,missing,match,match,0.5508684083551505
record_105,g,nomatch,nomatch,,,match,,,matcha,match,nomatch,,nomatch,matcha,,match,match,matcha,matcha,matcha,0.5890088491781211
record_105,h,missing,match,missing,match,missing,match,nomatch,nomatch,,nomatch,missing,missing,missing,nomatch,nomatch,match,missing,nomatch,match,0.6320558055980365
record_106,a,match,match,match,match,match,match,nomatch,nomatch,match,match,nomatch,match,match,match,nomatch,nomatch,nomatch,nomatch,match,0.6877995090299454
record_106,b,match,missing,match,nomatch,missing,,match,match,nomatch,match,match,match,match,,match,match,,match,missing,0.49756361068863336
record_106,c,match,nomatch,match,nomatch,match,match,match,match,match,match,match,match,match,match,match,match,nomatch,match,match,0.5144241030147495
record_106,d,match,match,nomatch,match,match,match,nomatch,nomatch,,match,nomatch,match,match,match,nomatch,match,match,nomatch,nomatch,0.6891128335502664
record_106,e,nomatch,nomatch,nomatch,match,match,match,match,match,nomatch,nomatch,match,nomatch,nomatch,nomatch,match,nomatch,nomatch,match,match,0.5963467950763719
record_106,f,match,nomatch,nomatch,nomatch,match,match,match,nomatch,match,nomatch,match,match,match,nomatch,match,match,match,nomatch,match,0.5850067942335428
record_106,g,nomatch,,,,,,match,match,,nomatch,match,,,nomatch,matcha,matcha,match,matcha,,0.6224512760257358
record_106,h,nomatch,match,match,nomatch,match,nomatch,missing,match,missing,nomatch,match,nomatch,nomatch,nomatch,match,missing,match,nomatch,nomatch,0.6678037275711713
record_107,a,match,match,nomatch,,match,match,match,match,match,,missing,match,match,match,match,,nomatch,nomatch,match,0.621176383271097
record_107,b,missing,match,match,match,missing,missing,missing,match,nomatch,match,missing,match,match,match,missing,match,match,match,match,0.5710891188888996
record_107,c,nomatch,match,nomatch,match,match,match,match,match,match,missing,match,nomatch,match,nomatch,nomatch,match,match,match,match,0.5956262944394697
record_107,d,match,match,match,match,match,match,match,match,nomatch,nomatch,nomatch,nomatch,match,match,nomatch,nomatch,match,match,match,0.6497577315195738
record_107,e,nomatch,match,match,match,match,nomatch,match,match,match,missing,nomatch,nomatch,match,match,nomatch,nomatch,match,match,match,0.7404128944677657
record_107,f,nomatch,match,nomatch,match,nomatch,match,match,match,nomatch,missing,nomatch,nomatch,match,nomatch,match,match,nomatch,match,nomatch,0.5730474876394691
record_107,g,matcha,matcha,match,match,,nomatch,,matcha,nomatch,match,nomatch,nomatch,nomatch,matcha,,match,match,match,nomatch,0.5222133470668988
record_107,h,nomatch,nomatch,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,,missing,nomatch,nomatch,missing,missing,match,match,match,missing,0.5645865091587603
record_108,a,match,match,match,match,match,missing,,nomatch,match,match,match,match,match,nomatch,match,nomatch,nomatch,nomatch,match,0.6035628298060629
record_108,b,match,match,,missing,match,match,match,match,nomatch,match,match,match,,match,match,match,missing,match,match,0.6715075277503169
record_108,c,match,match,match,nomatch,match,missing,match,match,match,match,match,match,match,match,match,match,match,match,nomatch,0.5894720478751266
record_108,d,nomatch,match,match,match,nomatch,match,match,match,match,match,nomatch,match,missing,match,match,match,nomatch,match,nomatch,0.5144329227006265
record_108,e,nomatch,nomatch,match,match,match,match,match,nomatch,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,nomatch,match,nomatch,nomatch,0.4913287457100566
record_108,f,nomatch,nomatch,nomatch,match,match,missing,nomatch,nomatch,nomatch,match,nomatch,match,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,0.6257152948572073
record_108,g,,,nomatch,matcha,,match,nomatch,match,,matcha,,,nomatch,nomatch,nomatch,match,match,match,nomatch,0.7200438333421832
record_108,h,nomatch,missing,nomatch,match,match,nomatch,match,nomatch,match,nomatch,nomatch,nomatch,match,match,missing,match,missing,missing,nomatch,0.7149968668661583
record_109,a,match,nomatch,match,nomatch,match,match,match,match,match,match,match,nomatch,match,match,missing,missing,nomatch,nomatch,match,0.6427857839155674
record_109,b,nomatch,match,match,match,match,match,match,match,nomatch,match,match,missing,match,match,,nomatch,match,match,match,0.5732708471468598
record_109,c,match,missing,match,match,,missing,match,nomatch,missing,match,match,match,match,match,match,match,match,match,nomatch,0.6564904202974972
record_109,d,match,match,match,nomatch,nomatch,missing,match,missing,match,match,match,match,nomatch,match,match,nomatch,match,match,nomatch,0.7909487665709842
record_109,e,match,missing,nomatch,match,,missing,match,match,missing,nomatch,nomatch,match,nomatch,nomatch,match,nomatch,nomatch,nomatch,nomatch,0.4990819690160652
record_109,f,nomatch,missing,match,match,missing,missing,nomatch,match,missing,nomatch,nomatch,match,match,nomatch,nomatch,nomatch,nomatch,nomatch,match,0.6155638996490763
record_109,g,,matcha,nomatch,match,,nomatch,matcha,matcha,nomatch,matcha,nomatch,match,nomatch,,match,match,match,nomatch,,0.6362120426250713
record_109,h,missing,missing,nomatch,match,missing,missing,nomatch,missing,nomatch,missing,match,missing,nomatch,nomatch,missing,nomatch,match,nomatch,missing,0.6074345177020303
record_11,a,match,match,match,match,match,nomatch,match,match,match,match,match,missing,match,match,match,nomatch,nomatch,nomatch,match,0.5864807912693656
record_11,b,match,match,missing,missing,match,match,match,missing,missing,match,match,missing,match,match,,missing,match,match,match,0.6392686016740596
record_11,c,missing,nomatch,nomatch,match,match,match,,match,missing,nomatch,nomatch,match,match,missing,nomatch,match,,match,match,0.5946273065025335
record_11,d,match,match,match,missing,nomatch,match,nomatch,match,match,nomatch,,match,match,match,match,match,match,match,match,0.5774899845518233
record_11,e,match,nomatch,nomatch,match,nomatch,match,match,nomatch,missing,match,nomatch,match,nomatch,missing,match,match,match,match,nomatch,0.5830828279871288
