,record_id,verified,rule_results,rule_assignment
0,record_1,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""b"",""c""]}","{""rule_1"":""a"",""rule_2"":""b""}"
1,record_10,false,"{""rule_1"":[],""rule_2"":[]}",{}
2,record_100,true,"{""rule_1"":[""a"",""b""],""rule_2"":[""b"",""e""]}","{""rule_1"":""a"",""rule_2"":""b""}"
3,record_1000,false,"{""rule_1"":[],""rule_2"":[]}",{}
4,record_101,true,"{""rule_1"":[""d""],""rule_2"":[""g""]}","{""rule_1"":""d"",""rule_2"":""g""}"
5,record_102,false,"{""rule_1"":[""c""],""rule_2"":[]}",{}
6,record_103,false,"{""rule_1"":[],""rule_2"":[""d""]}",{}
7,record_104,false,"{""rule_1"":[""b"",""c""],""rule_2"":[]}",{}
8,record_105,true,"{""rule_1"":[""b"",""c""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
9,record_106,false,"{""rule_1"":[],""rule_2"":[""d""]}",{}
10,record_107,true,"{""rule_1"":[""a"",""c""],""rule_2"":[""g""]}","{""rule_1"":""a"",""rule_2"":""g""}"
11,record_108,false,"{""rule_1"":[""b""],""rule_2"":[]}",{}
12,record_109,false,"{""rule_1"":[],""rule_2"":[""c""]}",{}
13,record_11,false,"{""rule_1"":[],""rule_2"":[""g""]}",{}
14,record_110,false,"{""rule_1"":[""a"",""c""],""rule_2"":[]}",{}
15,record_111,false,"{""rule_1"":[],""rule_2"":[""b""]}",{}
16,record_112,true,"{""rule_1"":[""c""],""rule_2"":[""b""]}","{""rule_1"":""c"",""rule_2"":""b""}"
17,record_113,true,"{""rule_1"":[""a"",""b""],""rule_2"":[""d""]}","{""rule_1"":""a"",""rule_2"":""d""}"
18,record_114,false,"{""rule_1"":[""b""],""rule_2"":[""b""]}",{}
19,record_115,false,"{""rule_1"":[""d""],""rule_2"":[]}",{}
20,record_116,true,"{""rule_1"":[""c"",""d""],""rule_2"":[""a""]}","{""rule_1"":""c"",""rule_2"":""a""}"
21,record_117,true,"{""rule_1"":[""b"",""c""],""rule_2"":[""c""]}","{""rule_1"":""b"",""rule_2"":""c""}"
