recordid,datasource,firstinitial,firstname,middlename,lastname,dayofbirth,monthofbirth,yearofbirth,streetname,streetnumber,streettype,city,region,postalcode,unitnumber,address1,taxid,socialinsurancenumber,voterid,gender,trumatch_confidence
record_1,a,match,match,match,,match,match,match,match,match,match,,match,match,match,,nomatch,nomatch,nomatch,match,0.553762154
record_1,b,match,match,match,match,match,missing,missing,match,match,match,match,match,match,match,match,match,nomatch,match,match,0.568360749
record_1,c,match,match,match,match,match,match,match,match,match,match,match,nomatch,nomatch,missing,match,match,match,match,missing,0.50104972
record_1,d,nomatch,match,match,nomatch,match,match,nomatch,match,match,match,match,nomatch,nomatch,match,nomatch,missing,match,nomatch,nomatch,0.808702459
record_1,e,match,nomatch,match,match,nomatch,match,nomatch,match,nomatch,match,match,nomatch,match,match,nomatch,nomatch,match,nomatch,match,0.536946145
record_1,f,nomatch,match,nomatch,match,nomatch,match,match,match,nomatch,nomatch,match,nomatch,match,missing,nomatch,match,match,match,missing,0.65514082
record_1,g,nomatch,matcha,matcha,match,nomatch,,,,matcha,matcha,matcha,nomatch,,,match,match,matcha,match,matcha,0.519453164
record_1,h,match,missing,nomatch,missing,nomatch,match,nomatch,nomatch,nomatch,match,match,nomatch,match,nomatch,match,match,match,missing,nomatch,0.777686189
record_10,a,match,missing,nomatch,match,match,match,match,match,nomatch,match,match,match,missing,nomatch,nomatch,nomatch,nomatch,,match,0.673503652
record_10,b,match,match,match,missing,nomatch,missing,missing,match,nomatch,match,match,match,missing,match,match,missing,match,match,match,0.584603194
record_10,c,nomatch,nomatch,match,match,match,match,match,match,match,match,missing,match,match,match,missing,match,,missing,missing,0.638498645
record_10,d,match,match,match,match,nomatch,match,match,match,match,nomatch,match,match,match,match,match,,match,match,match,0.624256635
record_10,e,nomatch,match,match,nomatch,nomatch,nomatch,match,nomatch,nomatch,match,missing,match,nomatch,nomatch,missing,match,match,missing,missing,0.546343961
record_10,f,nomatch,match,match,match,match,match,nomatch,match,match,nomatch,missing,match,match,nomatch,missing,match,missing,missing,missing,0.530683022
record_10,g,,nomatch,match,,,,matcha,nomatch,match,,nomatch,,match,matcha,nomatch,matcha,match,matcha,,0.454173017
record_10,h,nomatch,missing,match,nomatch,match,nomatch,missing,missing,match,nomatch,match,match,nomatch,match,match,match,missing,match,missing,0.698502573
record_100,a,match,match,match,match,match,match,match,match,match,nomatch,nomatch,nomatch,match,match,match,nomatch,nomatch,nomatch,match,0.571178535
record_100,b,match,match,match,match,match,match,match,match,nomatch,missing,match,missing,match,match,match,match,missing,match,missing,0.639007314
record_100,c,nomatch,missing,nomatch,nomatch,match,match,missing,missing,match,match,nomatch,missing,nomatch,match,match,match,match,missing,nomatch,0.663579269
record_100,d,match,match,match,match,nomatch,nomatch,nomatch,nomatch,match,match,match,nomatch,match,nomatch,match,nomatch,match,match,match,0.542479929
record_100,e,match,missing,nomatch,match,nomatch,match,missing,match,nomatch,nomatch,nomatch,missing,match,match,match,match,match,missing,match,0.654598255
record_100,f,match,missing,nomatch,match,nomatch,match,missing,missing,nomatch,match,match,missing,nomatch,nomatch,nomatch,nomatch,match,missing,match,0.75246488
record_100,g,nomatch,,,matcha,matcha,matcha,nomatch,,,match,match,match,,,matcha,matcha,matcha,matcha,,0.704322803
record_100,h,missing,match,nomatch,nomatch,nomatch,nomatch,nomatch,missing,missing,match,nomatch,match,missing,match,missing,match,missing,nomatch,nomatch,0.612106027
record_1000,a,match,missing,match,match,nomatch,match,missing,,match,nomatch,match,match,match,match,nomatch,nomatch,missing,,match,0.602531633
record_1000,b,match,match,match,nomatch,nomatch,match,missing,missing,missing,nomatch,missing,match,match,match,nomatch,match,match,match,match,0.521149808
record_1000,c,nomatch,match,match,match,missing,match,match,nomatch,match,match,match,match,match,nomatch,match,match,match,missing,match,0.470815776
